inventory_id,date,ing_id,expected_qty,actual_qty,error_flag,note
INV00000001,2024-04-01,ING001,4180,4180,0,
INV00000002,2024-04-01,ING002,6370,6370,0,
INV00000003,2024-04-01,ING003,1860,1860,0,
INV00000004,2024-04-01,ING004,1860,1860,0,
INV00000005,2024-04-01,ING005,1630,1630,0,
INV00000006,2024-04-01,ING006,2000,2000,0,
INV00000007,2024-04-01,ING007,1430,1430,0,
INV00000008,2024-04-01,ING008,1690,1690,0,
INV00000009,2024-04-01,ING009,1710,1710,0,
INV00000010,2024-04-01,ING010,7340,7340,0,
INV00000011,2024-04-01,ING011,36,36,0,
INV00000012,2024-04-01,ING012,1685,1685,0,
INV00000013,2024-04-01,ING013,1740,1740,0,
INV00000014,2024-04-01,ING014,37,37,0,
INV00000015,2024-04-01,ING015,1650,1650,0,
INV00000016,2024-04-01,ING016,1650,1650,0,
INV00000017,2024-04-01,ING017,1380,1380,0,
INV00000018,2024-04-01,ING018,200,200,0,
INV00000019,2024-04-02,ING001,3776,3776,0,
INV00000020,2024-04-02,ING002,0,0,0,pending_delivery
INV00000021,2024-04-02,ING003,1860,1860,0,
INV00000022,2024-04-02,ING004,1780,1780,0,
INV00000023,2024-04-02,ING005,1490,1490,0,
INV00000024,2024-04-02,ING006,2000,2000,0,
INV00000025,2024-04-02,ING007,1060,1060,0,
INV00000026,2024-04-02,ING008,1590,1590,0,
INV00000027,2024-04-02,ING009,1600,1600,0,
INV00000028,2024-04-02,ING010,6980,6980,0,
INV00000029,2024-04-02,ING011,32,32,0,
INV00000030,2024-04-02,ING012,1565,1565,0,
INV00000031,2024-04-02,ING013,1640,1640,0,
INV00000032,2024-04-02,ING014,30,30,0,
INV00000033,2024-04-02,ING015,1650,1650,0,
INV00000034,2024-04-02,ING016,1450,1450,0,
INV00000035,2024-04-02,ING017,1310,1310,0,
INV00000036,2024-04-02,ING018,200,200,0,
INV00000037,2024-04-03,ING001,3338,3338,0,
INV00000038,2024-04-03,ING002,30000,30000,0,
INV00000039,2024-04-03,ING003,1800,1800,0,
INV00000040,2024-04-03,ING004,1720,1720,0,
INV00000041,2024-04-03,ING005,1230,1230,0,
INV00000042,2024-04-03,ING006,2000,2000,0,
INV00000043,2024-04-03,ING007,810,810,0,
INV00000044,2024-04-03,ING008,1490,1490,0,
INV00000045,2024-04-03,ING009,1460,1460,0,
INV00000046,2024-04-03,ING010,6555,6555,0,
INV00000047,2024-04-03,ING011,26,26,0,
INV00000048,2024-04-03,ING012,1340,1340,0,
INV00000049,2024-04-03,ING013,1450,1450,0,
INV00000050,2024-04-03,ING014,21,21,0,
INV00000051,2024-04-03,ING015,1500,1500,0,
INV00000052,2024-04-03,ING016,1300,1300,0,
INV00000053,2024-04-03,ING017,1255,1255,0,
INV00000054,2024-04-03,ING018,200,200,0,
INV00000055,2024-04-04,ING001,2712,2712,0,
INV00000056,2024-04-04,ING002,19090,19090,0,
INV00000057,2024-04-04,ING003,1740,1740,0,
INV00000058,2024-04-04,ING004,1660,1660,0,
INV00000059,2024-04-04,ING005,920,920,0,
INV00000060,2024-04-04,ING006,2000,2000,0,
INV00000061,2024-04-04,ING007,410,410,0,pending_delivery
INV00000062,2024-04-04,ING008,1410,1410,0,
INV00000063,2024-04-04,ING009,1180,1180,0,
INV00000064,2024-04-04,ING010,6075,6075,0,
INV00000065,2024-04-04,ING011,20,20,0,
INV00000066,2024-04-04,ING012,1075,1075,0,
INV00000067,2024-04-04,ING013,1230,1230,0,
INV00000068,2024-04-04,ING014,14,14,0,
INV00000069,2024-04-04,ING015,1350,1350,0,
INV00000070,2024-04-04,ING016,1150,1150,0,
INV00000071,2024-04-04,ING017,1135,1135,0,
INV00000072,2024-04-04,ING018,200,200,0,
INV00000073,2024-04-05,ING001,1856,1856,0,
INV00000074,2024-04-05,ING002,4430,4430,0,pending_delivery
INV00000075,2024-04-05,ING003,1640,1640,0,
INV00000076,2024-04-05,ING004,1560,1560,0,
INV00000077,2024-04-05,ING005,590,590,0,
INV00000078,2024-04-05,ING006,2000,2000,0,
INV00000079,2024-04-05,ING007,3000,3000,0,
INV00000080,2024-04-05,ING008,1090,1090,0,
INV00000081,2024-04-05,ING009,880,880,0,
INV00000082,2024-04-05,ING010,5510,5510,0,
INV00000083,2024-04-05,ING011,10,10,0,pending_delivery
INV00000084,2024-04-05,ING012,790,790,0,
INV00000085,2024-04-05,ING013,990,990,0,
INV00000086,2024-04-05,ING014,1,1,0,pending_delivery
INV00000087,2024-04-05,ING015,1100,1100,0,
INV00000088,2024-04-05,ING016,900,900,0,
INV00000089,2024-04-05,ING017,1080,1080,0,
INV00000090,2024-04-05,ING018,200,200,0,
INV00000091,2024-04-06,ING001,1398,1398,0,
INV00000092,2024-04-06,ING002,30000,30000,0,
INV00000093,2024-04-06,ING003,1600,1600,0,
INV00000094,2024-04-06,ING004,1420,1420,0,
INV00000095,2024-04-06,ING005,190,190,0,pending_delivery
INV00000096,2024-04-06,ING006,2000,2000,0,
INV00000097,2024-04-06,ING007,2510,2510,0,
INV00000098,2024-04-06,ING008,910,910,0,
INV00000099,2024-04-06,ING009,670,670,0,
INV00000100,2024-04-06,ING010,4820,4820,0,
INV00000101,2024-04-06,ING011,75,75,0,
INV00000102,2024-04-06,ING012,445,445,0,pending_delivery
INV00000103,2024-04-06,ING013,700,700,0,
INV00000104,2024-04-06,ING014,75,75,0,
INV00000105,2024-04-06,ING015,1000,1000,0,
INV00000106,2024-04-06,ING016,550,550,0,
INV00000107,2024-04-06,ING017,950,950,0,
INV00000108,2024-04-06,ING018,200,200,0,
INV00000109,2024-04-07,ING001,1044,1044,0,pending_delivery
INV00000110,2024-04-07,ING002,24230,24230,0,
INV00000111,2024-04-07,ING003,1520,1520,0,
INV00000112,2024-04-07,ING004,1380,1380,0,
INV00000113,2024-04-07,ING005,3000,3000,0,
INV00000114,2024-04-07,ING006,2000,2000,0,
INV00000115,2024-04-07,ING007,2310,2310,0,
INV00000116,2024-04-07,ING008,890,890,0,
INV00000117,2024-04-07,ING009,570,570,0,
INV00000118,2024-04-07,ING010,4555,4555,0,
INV00000119,2024-04-07,ING011,69,69,0,
INV00000120,2024-04-07,ING012,3000,3000,0,
INV00000121,2024-04-07,ING013,570,570,0,
INV00000122,2024-04-07,ING014,70,70,0,
INV00000123,2024-04-07,ING015,800,800,0,
INV00000124,2024-04-07,ING016,450,450,0,pending_delivery
INV00000125,2024-04-07,ING017,895,895,0,
INV00000126,2024-04-07,ING018,200,200,0,
INV00000127,2024-04-08,ING001,7500,7500,0,
INV00000128,2024-04-08,ING002,13800,13800,0,
INV00000129,2024-04-08,ING003,1440,1440,0,
INV00000130,2024-04-08,ING004,1320,1320,0,
