row_id,order_id,date,time,item_id,quantity,cust_name,in_or_out,staff_id
1,ORD00040,01/04/2024,07:01:13,IT001,1,Cameron,in,ST001
2,ORD00024,01/04/2024,07:17:31,IT010,1,Kai,in,ST004
3,ORD00024,01/04/2024,07:17:31,IT028,2,Kai,in,ST004
4,ORD00003,01/04/2024,07:18:35,IT027,2,Cameron,out,ST001
5,ORD00049,01/04/2024,07:20:46,IT025,1,Quinn,out,ST004
6,ORD00049,01/04/2024,07:20:46,IT028,1,Quinn,out,ST004
7,ORD00036,01/04/2024,07:27:04,IT014,2,Logan,out,ST001
8,ORD00036,01/04/2024,07:27:04,IT015,1,Logan,out,ST001
9,ORD00046,01/04/2024,07:32:05,IT025,2,Parker,out,ST001
10,ORD00032,01/04/2024,07:34:49,IT004,1,Morgan,out,ST004
11,ORD00032,01/04/2024,07:34:49,IT025,1,Morgan,out,ST004
12,ORD00005,01/04/2024,07:43:34,IT003,1,Elliot,out,ST004
13,ORD00005,01/04/2024,07:43:34,IT017,1,Elliot,out,ST004
14,ORD00005,01/04/2024,07:43:34,IT025,4,Elliot,out,ST004
15,ORD00011,01/04/2024,07:45:01,IT003,2,Skye,out,ST004
16,ORD00011,01/04/2024,07:45:01,IT005,1,Skye,out,ST004
17,ORD00011,01/04/2024,07:45:01,IT025,1,Skye,out,ST004
18,ORD00047,01/04/2024,07:45:33,IT003,2,Hayden,out,ST001
19,ORD00047,01/04/2024,07:45:33,IT016,2,Hayden,out,ST001
20,ORD00047,01/04/2024,07:45:33,IT026,1,Hayden,out,ST001
21,ORD00038,01/04/2024,07:47:40,IT019,1,Reese,out,ST001
22,ORD00038,01/04/2024,07:47:40,IT022,2,Reese,out,ST001
23,ORD00016,01/04/2024,07:48:16,IT002,2,Riley,in,ST004
24,ORD00016,01/04/2024,07:48:16,IT016,3,Riley,in,ST004
25,ORD00002,01/04/2024,07:54:47,IT002,1,Blake,out,ST004
26,ORD00025,01/04/2024,07:56:15,IT011,1,Drew,out,ST004
27,ORD00028,01/04/2024,08:07:11,IT003,3,Avery,in,ST001
28,ORD00028,01/04/2024,08:07:11,IT012,1,Avery,in,ST001
29,ORD00028,01/04/2024,08:07:11,IT025,2,Avery,in,ST001
30,ORD00027,01/04/2024,08:07:17,IT008,1,Sage,out,ST004
31,ORD00027,01/04/2024,08:07:17,IT027,1,Sage,out,ST004
32,ORD00035,01/04/2024,08:11:58,IT016,3,Logan,out,ST001
33,ORD00043,01/04/2024,08:18:29,IT027,2,Rowan,out,ST001
34,ORD00006,01/04/2024,08:20:13,IT020,1,Skye,out,ST001
35,ORD00026,01/04/2024,08:23:04,IT003,1,Harper,out,ST001
36,ORD00044,01/04/2024,08:30:16,IT018,1,Riley,in,ST004
37,ORD00010,01/04/2024,08:30:39,IT004,1,Logan,in,ST004
38,ORD00010,01/04/2024,08:30:39,IT021,3,Logan,in,ST004
39,ORD00001,01/04/2024,08:35:23,IT025,3,Logan,out,ST004
40,ORD00001,01/04/2024,08:35:23,IT028,1,Logan,out,ST004
41,ORD00034,01/04/2024,08:37:11,IT017,1,Harper,in,ST004
42,ORD00034,01/04/2024,08:37:11,IT021,1,Harper,in,ST004
43,ORD00037,01/04/2024,08:37:39,IT016,1,Blake,out,ST001
44,ORD00037,01/04/2024,08:37:39,IT024,2,Blake,out,ST001
